Date,Sample Name,Farm Name,Soil Name,Crop Name,pH,Conductivity,Nitrogen,Phosphorus,Potassium,Boron,Copper,Ferrous,Manganese,Organic Carbon,Sulphur,Zinc,LAI,TII,ARI,RBI,CRI,FAI,MRI,HCI,Bi-carbonate,Carbonate,C/N Ratio,Calcium Carbonate,Col410,Col435,Col460,Col485,Col510,Col535,Col560,Col585,Col610,Col645,Col680,Col705,Col730,Col760,Col810,Col860,Col900,Col940,S1,S2,S3,S4,Temp,Moist,EC,Ph,Nitro,Posh,Pota
2026-01-18T00:00:00.000Z,F1_Fx_Brinjal,F1,,Brinjal,7.9,311.5,196.86,49.23,254.94,0.76,0.77,5.03,6.4,0.53,30.92,1.31,0.74,0.02,0.1,0.23,0.5,11.53,5.8,0.01,250,0.92,27.15,0.21,872.64,210.89,560.365,104.05,294.45,265.935,73.5,77.41,382.225,127.465,326.27,39.24,169.78,158.59,10739.6,407.84,51.405,38.5,2058.5,0,0,365,27.9,19.85,311.5,7.9,21,28.5,72
2026-01-18T00:00:00.000Z,F1_Fx2_Brinjal,F1,,Brinjal,7.98,373,195.1,45,207.95,0.76,0.62,5.11,6.55,0.53,40.65,1.36,0.76,0.03,0.13,0.31,0.44,12.29,6.18,0.01,250,1.11,27.39,0.21,945.32,230.5,615.19,129.84,329.36,320.02,73.495,75.755,431.125,120.12,344.74,38.655,168.635,158.975,8680.365,440.775,52.915,36.21,2067,0,0,349,27.9,23.3,373,7.985,24,33,83
2026-01-18T00:00:00.000Z,F1_S1_Papaya,F1,S1,Papaya,7.3,402,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.75,0.02,0.09,0.16,0.27,2.44,1.23,0.01,250,0.23,27.39,0.2,1083.38,281.19,794.71,153.855,438.27,360.935,111.255,125.94,544.675,212.71,435.025,76.53,211.27,217.475,20842.63,2867.515,691.54,102.22,2109.5,0,0,253,27.1,26,402,7.3,25,35,87
2026-01-18T00:00:00.000Z,F1_S2_Papaya,F1,S2,Papaya,7.81,506,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.94,0.03,0.11,0.26,0.25,2.49,1.25,0.01,250,0.74,27.39,0.21,1334.11,352.92,1015.455,173.42,515.3,399.075,107.98,122.625,491.275,205.98,420.15,74.005,201.375,207.09,15765.28,2538.715,671.28,97.635,1297.5,0,0,249,27.1,26.4,506,7.81,30.5,42,105
2026-01-18T00:00:00.000Z,F1_S3_Papaya,F1,S3,Papaya,7.57,209,196.86,49.23,254.87,0.76,0.77,5.03,6.4,0.53,30.92,1.31,0.66,0.02,0.1,0.21,0.28,1.91,0.96,0.01,250,0.43,27.15,0.21,864.46,218.06,574.925,128.95,318.36,287.085,107.725,121.68,467.665,180.28,401.17,72.45,198.71,205.55,12122.87,2426.19,584.5,99.93,1406,0,0,358.5,27.1,12.2,209,7.57,16,21,55
2026-01-18T00:00:00.000Z,F1_Fx_Papaya,F1,,Papaya,7.75,411,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.82,0.03,0.15,0.33,0.25,2.09,1.05,0.01,250,0.65,27.39,0.21,1153.48,304.14,837.4,161.415,459.14,352.615,115.53,129.965,507.015,203.94,435.54,76.53,204.42,215.165,10718.85,2744.56,720.265,100.385,1801.5,0,0,242,27.15,24,411,7.75,26,35,89
2026-01-18T00:00:00.000Z,F2_S1_Guava,F2,S1,Guava,8.01,303.5,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.84,0.02,0.08,0.2,0.54,14.3,7.18,0.01,250,1.18,27.39,0.21,1477.33,310.84,924.73,175.2,516.05,451.775,78.53,87.115,584.02,202.715,441.18,45.45,213.555,192.46,20962.91,657.595,69.85,44.92,2601.5,0,0,284.5,27.1,28,303.5,8.01,20,28,71
2026-01-18T00:00:00.000Z,S1_F2_Guava,F2,S1,Guava,8.07,369.5,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.74,0.07,0.24,0.62,0.5,12.3,6.18,0.02,250,1.35,27.39,0.21,1148.32,304.62,852.445,142.29,453.07,348.8,76.01,84.04,551.415,188.645,465.81,40.595,190.33,173.595,6079.015,510.485,79.83,38.96,1765.5,0,0,231,30,31.1,369.5,8.07,24,32.5,82
2026-01-18T00:00:00.000Z,F2_S2_Guava,F2,S2,Guava,7.41,328.5,192.06,60.05,372.02,0.76,0.77,6.28,6.53,0.53,30.55,1.41,0.69,0.02,0.09,0.17,0.54,13.4,6.73,0.01,250,0.3,27.82,0.2,823.61,195.11,534.66,98.72,273.585,241.32,66.45,70.545,377.73,130.93,328.32,37.485,162.55,153.97,13402.795,399.605,49.59,37.13,2866,0,0,322,27.3,22.2,328.5,7.41,22,30,75
2026-01-18T00:00:00.000Z,F2_S3_Guava,F2,S3,Guava,6.91,257.5,195.1,45,207.95,0.76,0.63,5.08,6.44,0.53,40.65,1.33,0.72,0.05,0.32,0.44,0.5,18.99,9.54,0.03,250,0.09,27.39,0.2,996.07,240.06,660.8,117.835,338.85,300.605,71.985,77.175,447.99,145.205,389.885,39.235,168.635,158.59,5636.835,538.485,56.545,35.75,2858.5,0,0,321.5,28,26.7,257.5,6.91,18,25,63
2026-01-18T00:00:00.000Z,F2_S4_Guava,F2,S4,Guava,7.26,210.5,195.1,45,220.27,0.76,0.62,5.11,6.28,0.53,40.16,1.32,0.8,0.04,0.19,0.33,0.47,16.46,8.27,0.02,250,0.21,27.39,0.2,924.25,222.85,627.81,111.615,301.66,324.88,71.235,76.225,391.22,123.795,322.165,36.515,165.21,151.275,7186.135,371.065,48.08,35.295,2625,0,0,284,28.1,27.2,210.5,7.26,16,22,55
2026-01-18T00:00:00.000Z,F2_S5_Guava,F2,S5,Guava,7.2,307,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.89,0.04,0.24,0.39,0.49,18.39,9.24,0.02,250,0.18,27.39,0.2,1317.77,306.53,880.58,142.295,437.13,378.62,82.555,89.245,465.415,178.24,376.03,44.095,177.39,163.59,8386.855,505.545,66.22,38.96,2407,0,0,277,28.2,25.1,307,7.2,21,28,71
2026-01-18T00:00:00.000Z,F2_Fx_Guava,F2,,Guava,7.08,250,194.26,45,248.87,0.76,0.62,5.13,6.42,0.53,40.41,1.33,0.75,0.06,0.34,0.52,0.63,16.62,8.35,0.03,250,0.14,27.51,0.2,1139.72,196.065,797.135,161.415,412.46,398.04,82.05,89.245,545.235,170.29,406.815,43.9,175.11,165.51,5170.525,589.53,61.985,38.045,1836.5,0,0,295,28.2,23.65,250,7.075,18,24,62
2026-01-18T00:00:00.000Z,F2_FM_Guava,F2,,Guava,7.38,315,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.77,0.08,0.39,0.71,0.58,16.03,8.05,0.03,250,0.28,27.39,0.2,1250.25,252.015,932.005,222.335,517.19,494.42,89.355,98.48,663.27,194.76,430.41,46.615,188.05,179.37,4932.5,776.71,74.38,41.25,940.5,0,0,301.5,27.8,26.1,315,7.38,21,29,73
2026-01-18T00:00:00.000Z,F2_S1_Brinjal,F2,S1,Brinjal,6.73,628.5,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.77,0.01,0.08,0.1,0.62,20.38,10.24,0.01,250,0.06,27.39,0.2,1177.13,208.5,878.635,168.53,427.26,389.715,73.495,80.255,539.61,169.27,384.24,44.095,200.23,183.605,26622.195,646.07,64.1,44.92,2419,0,0,297,25.7,28.6,628.5,6.73,37,50,126
2026-01-18T00:00:00.000Z,F2_S2_Brinjal,F2,S2,Brinjal,7.22,608,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.59,0.01,0.08,0.14,0.49,15.71,7.89,0.01,250,0.19,27.39,0.2,1090.26,258.23,706.4,244.57,350.23,591.85,80.795,85.225,788.06,151.12,381.675,44.285,219.27,202.855,20292.03,769.57,60.175,46.75,2565.5,0,0,308,26,24,608,7.225,36,49,123
2026-01-18T00:00:00.000Z,F2_S1_Papaya,F2,S1,Papaya,7.87,717,196.93,59.65,257.82,0.76,0.76,5.89,6.34,0.53,30.6,1.31,0.75,0.03,0.1,0.25,0.28,1.9,0.96,0.01,250,0.85,27.14,0.21,835.22,214.24,579.775,111.165,318.74,272.175,101.94,114.58,400.215,167.64,382.7,66.235,182.72,187.84,10452.865,2020.545,519.79,88.005,1737,0,0,271,27.2,19.5,717,7.87,41,56,141
2026-01-18T00:00:00.000Z,F2_S2_Papaya,F2,S2,Papaya,7.68,792,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.95,0.03,0.15,0.32,0.24,2.3,1.15,0.01,250,0.55,27.39,0.21,1461.85,329.01,977.615,162.305,489.87,411.56,111.255,127.125,479.47,200.675,403.735,75.17,202.135,209.78,11403.285,2445.405,722.685,100.385,2265.5,0,0,251,27.4,28,792,7.68,45,61.5,154
2026-01-18T00:00:00.000Z,F2_S3_Papaya,F2,S3,Papaya,7.56,743,195.1,45,207.95,0.76,0.63,5.08,6.44,0.53,40.65,1.33,0.57,0.02,0.09,0.2,0.24,1.43,0.72,0.01,250,0.42,27.39,0.21,971.56,254.41,698.64,126.73,392.35,312.045,125.6,140.62,637.98,239.835,518.135,86.82,245.91,248.275,16177.38,2997.06,975.775,117.345,1707.5,0,0,238,27.5,26.8,743,7.56,42,58,145
2026-01-18T00:00:00.000Z,F2_Fx_Papaya,F2,,Papaya,7.28,790,198.89,45.39,288.14,0.76,0.77,5.12,6.4,0.53,31.48,1.31,0.65,0.03,0.17,0.32,0.26,1.62,0.81,0.01,250,0.22,26.87,0.2,888.98,243.89,706.885,122.73,390.08,321.065,124.845,143.935,560.97,257.575,516.085,80.22,215.46,220.17,9014.54,2773.655,950.675,114.135,1292.5,0,0,228,27.5,29.7,790,7.28,45,62,153
2026-01-18T00:00:00.000Z,F3_S1_Guava,F3,S1,Guava,7.62,382,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.6,0.01,0.06,0.12,0.48,13.66,6.86,0.01,250,0.49,27.39,0.21,1108.75,251.06,761.23,258.8,401.84,616.125,77.775,89.485,844.27,138.065,373.98,47.585,193.76,186.685,24172.465,708.645,61.68,49.96,1393,0,0,303,28.4,25.6,382,7.625,24,33,84
2026-01-18T00:00:00.000Z,F3_S2_Guava,F3,S2,Guava,7.2,316.5,195.1,45,207.95,0.76,0.63,5.08,6.44,0.53,40.65,1.33,0.66,0.02,0.1,0.16,0.5,14.27,7.17,0.01,250,0.18,27.39,0.2,985.32,209.455,692.335,169.42,341.89,405.315,77.775,87.825,564.905,130.52,371.925,43.9,182.34,177.06,15383.675,715.78,61.68,46.295,1131.5,0,0,302.5,28.6,15,316.5,7.195,21,29,73
2026-01-18T00:00:00.000Z,F3_S3_Guava,F3,S3,Guava,7.43,569.5,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.95,0.06,0.29,0.53,0.4,17.67,8.88,0.02,250,0.31,27.39,0.2,1464,319.92,885.435,128.95,407.91,352.615,73.5,81.2,401.9,141.33,340.63,40.01,157.6,150.505,6060.375,413.88,61.68,36.67,1998.5,0,0,274,28.75,27.3,569.5,7.43,34,46,116
2026-01-18T00:00:00.000Z,F3_Fx_Guava,F3,,Guava,7.54,461,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.8,0.07,0.31,0.6,0.42,16.8,8.44,0.03,250,0.4,27.39,0.21,1323.79,309.88,858.75,152.08,447.37,360.59,74,78.36,513.195,151.325,422.205,39.045,179.295,168.975,5657.165,562.085,67.43,36.67,1028,0,0,258,28.6,27.1,461,7.54,28,39,97.5
2026-01-18T00:00:00.000Z,F3_S2_Brinjal,F3,S2,Brinjal,7.95,417.5,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.79,0.04,0.16,0.37,0.4,12.67,6.36,0.01,250,1.03,27.39,0.21,1042.09,249.63,652.07,124.065,323.29,291.595,72.235,75.28,392.905,114.005,327.295,37.875,164.07,153.97,7353.855,430.35,54.125,34.84,2561.5,0,0,242,26.5,22.15,417.5,7.95,26,36,90
2026-01-18T00:00:00.000Z,F3_S2_Brinjal,F3,S2,Brinjal,7.77,1291,195.1,45,207.95,0.76,0.63,5.08,6.44,0.53,40.65,1.33,0.71,0.02,0.07,0.16,0.42,12.96,6.51,0.01,250,0.68,27.39,0.21,968.54,221.89,585.11,112.945,284.59,254.495,63.68,65.81,387.845,103.805,299.08,35.935,165.21,156.665,14809.36,411.685,48.685,37.59,131,0,0,263,27,22.6,1291,7.77,70,96,239
2026-01-18T00:00:00.000Z,F3_S3_Brinjal,F3,S3,Brinjal,7.53,784,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.82,0.02,0.1,0.19,0.43,15.79,7.93,0.01,250,0.39,27.39,0.21,1128.97,262.06,699.125,134.29,380.59,340.825,74.255,77.41,446.865,126.44,339.605,41.18,169.02,158.975,14882.63,457.245,55.335,36.67,85,0,0,263,27.2,24.95,784,7.53,44.5,61,152.5
2026-01-18T00:00:00.000Z,F3_S4_Brinjal,F3,S4,Brinjal,7.84,1599.5,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.92,0.03,0.11,0.26,0.48,14.69,7.38,0.01,250,0.8,27.39,0.21,1120.79,304.14,943.655,160.08,517.95,413.635,83.815,91.855,510.945,174.57,400.655,47.195,191.475,178.985,15095.67,607.645,71.06,40.34,570,0,0,239,27.3,28.15,1599.5,7.84,85.5,117.5,291
2026-01-18T00:00:00.000Z,F3_Fx_Brinjal,F3,,Brinjal,7.42,699,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.85,0.02,0.12,0.21,0.47,15.15,7.61,0.01,250,0.31,27.39,0.2,1524.21,211.85,789.365,146.3,408.29,356.775,74.25,77.645,456.985,122.36,355.51,41.375,182.34,173.21,13176.625,567.025,59.875,40.34,653,0,0,294.5,27.1,20.9,699,7.425,40,55,138
2026-01-18T00:00:00.000Z,F3_Fx_Brinjal,F3,,Brinjal,7.88,606,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.9,0.05,0.19,0.43,0.4,14.71,7.39,0.01,250,0.88,27.39,0.21,1289.82,298.88,791.305,143.63,410.95,339.785,76.015,82.86,422.135,135.62,365.77,39.43,167.115,158.205,7613.055,486.335,61.08,35.295,2241.5,0,0,273,26.6,26.8,606,7.88,36,49,122
2026-01-18T00:00:00.000Z,F2_S1_Papaya,F1,S4,Guava,6.182714818,2140.863692,194.9609272,44.82958147,233.5255983,0.76,0.653438381,5.257266229,6.359251778,0.53,39.50172056,1.338766363,0.739392264,-0.009226997,0.129913284,0.338362055,0.417363763,20.39370598,9.395686571,0.007085813,250,0.710803571,27.55247033,0.20701394,1199.303832,404.5507704,858.5593078,132.3771855,390.9691121,244.7636571,96.38795798,84.37017117,447.4829234,209.0387305,385.2923701,28.33868049,175.235542,171.0503957,13006.17864,318.6846509,127.3707722,54.52186688,2077.169589,0,0,305.689267,28.59726252,25.9363953,1186.800319,6.641286323,95.42105267,352.4756953,-501.9072855
2026-01-18T00:00:00.000Z,F4_Fx_Castor,F5,S5,Papaya,8.221811559,3757.724992,195.124016,46.6830698,242.5058024,0.76,0.637055166,5.27193255,6.403827257,0.53,39.75827819,1.354230854,0.887840826,0.076236629,0.278699281,0.060278572,0.409366974,15.57798165,10.52037592,0.008475178,250,0.543260171,27.30382727,0.211397523,1273.635722,253.3585744,863.7173927,233.687753,506.0007386,380.7982086,87.18767769,62.43841995,584.9744031,268.3433109,418.9500941,46.9525566,194.0069898,178.1702023,14608.88643,-799.2408013,158.3921005,84.75655416,1555.345554,0,0,274.772429,26.07013676,24.24731437,-1444.91453,7.367651302,113.3827911,122.9442167,298.5710446
2026-01-18T00:00:00.000Z,F3_F2_Fx_Castor,F1,S5,Papaya,6.189692455,4944.697485,194.4176355,42.54076202,199.9368081,0.76,0.674481874,5.089635644,6.326942033,0.53,41.94934042,1.341933848,0.838295158,0.035619487,0.167388387,0.384625927,0.487141628,12.17278307,15.15131525,0.011666453,250,0.381314584,27.53446662,0.203816403,1144.218015,351.8479938,961.3344942,132.3198825,436.4648518,420.9493523,88.05660361,99.0387964,383.8754025,169.1425081,327.1567759,55.86222144,158.6788134,183.453667,22107.22532,664.6373211,185.8917925,24.20915068,456.8231263,0,0,212.8314518,29.19676329,24.52541491,4259.484941,6.860094345,90.83120545,153.7641092,880.767249
2026-01-18T00:00:00.000Z,F4_s7_Papaya,F2,S7,Papaya,7.0148722,1228.95442,195.0676312,46.16665296,233.2171937,0.76,0.66597391,4.958491051,6.350884668,0.53,40.77678944,1.308995648,0.986195946,0.021109085,0.159660106,0.075315002,0.552803945,10.69588978,13.88832435,0.012023374,250,0.836954159,27.18681654,0.197760888,1575.634341,259.3147278,777.3056564,160.6014759,498.9500559,439.8369386,67.66575009,101.7977686,497.5527194,161.6165626,410.3755693,45.03478929,240.3085649,153.3132311,12785.506,1042.294906,-90.19711363,57.41949402,536.101336,0,0,192.0900852,27.96860324,22.85153491,-2109.924552,7.978712499,125.0192963,-268.2557978,0.24400927
2026-01-18T00:00:00.000Z,F4_FX_cumin,F1,S1,Cumin,7.273835092,-64.676196,195.7977221,44.84493559,164.2116576,0.76,0.66404996,5.13179479,6.326153651,0.53,40.64529982,1.337505279,1.044862152,0.016515935,0.065491251,0.319222512,0.575705886,33.42455762,7.187695503,0.012068082,250,0.148854327,27.40112448,0.207968352,1272.450809,226.3525457,855.1706604,109.7325104,406.4412866,442.4255373,78.62353611,65.11405191,332.544367,207.2444039,471.9176654,39.14023517,195.6675788,155.4376393,16982.00411,375.0050841,106.9357434,77.19304417,1450.073372,0,0,204.7284305,27.58103061,25.33705837,2383.246595,7.354984835,139.473731,579.0545702,581.6376519
2026-01-18T00:00:00.000Z,F1_S6_Brinjal,F2,S6,Papaya,6.320920699,619.1843452,195.9387813,44.72462377,237.3872766,0.76,0.647167359,5.039036699,6.369555411,0.53,41.4032004,1.332043298,0.747953239,0.040055032,0.113462746,0.152613779,0.475900203,18.05516951,7.561465884,0.011451759,250,0.728591213,27.31112226,0.204785564,1350.716544,291.3115044,813.2765182,155.3168798,359.0666412,511.457285,68.18835539,52.72316007,417.0758567,184.9857842,393.3885978,19.55308575,212.9364967,171.463429,18247.82892,365.2357404,-56.85846183,56.13287797,1380.079083,0,0,301.6931281,25.66199612,27.51635937,3026.581862,7.34561698,143.764832,289.0763474,-321.7233335
2026-01-18T00:00:00.000Z,F6_S1_Brinjal,F2,S4,Papaya,6.803953805,2786.027999,194.9479427,44.00676917,236.3150683,0.76,0.647366725,5.056877697,6.380119795,0.53,38.59587493,1.305321445,0.940427876,0.047783637,0.160529894,0.449820351,0.594628418,28.24551036,7.335624046,0.02165843,250,0.183024881,27.35736237,0.21180137,1467.348465,287.3167493,735.0349578,159.5201819,437.2243572,341.1268778,93.74966221,70.31143443,488.9176211,170.3193944,404.6590685,56.73837385,195.7696456,173.7402778,21364.84358,830.0771852,-20.46203366,52.78431314,2384.255043,0,0,269.0626556,27.03223928,25.00012283,2899.017396,7.933116358,77.50061344,363.2693226,575.0913125
2026-01-18T00:00:00.000Z,F4_S1_Papaya,F3,S7,Papaya,7.259437192,5449.262306,194.5610065,44.06056639,223.493963,0.76,0.60961122,5.087796183,6.32756084,0.53,41.87618766,1.32959766,0.789260881,0.040807515,0.054218062,0.485842906,0.413036263,11.43289268,10.76756592,0.009072644,250,0.45730307,27.32229982,0.202260744,999.909779,316.3495437,658.5725508,156.2075688,279.3938799,371.9224938,74.45904671,66.84136579,577.1242586,107.7548575,314.538609,54.13666478,176.5726505,211.8981156,19197.12722,533.5120363,117.7015001,5.526024338,601.7377148,0,0,287.7202036,28.38483265,26.28676224,2611.215967,7.463234653,22.66835038,10.07310831,-83.88258329
2026-01-18T00:00:00.000Z,F2_Fx_Guava,F1,S1,Guava,7.060819889,5840.10044,195.3817918,45.65691753,165.1458538,0.76,0.58882924,4.928271851,6.528177703,0.53,44.90286014,1.345626561,0.987768893,0.045436101,-0.045365995,0.095238699,0.451183071,14.5766556,12.94411389,0.0091975,250,0.620188811,27.49974332,0.20689231,1131.145832,303.6768682,641.8944971,161.2837232,326.1319925,364.3965295,72.7710696,91.67407949,458.7297589,196.4414325,456.2561553,42.05635916,181.1402877,200.3662386,2406.451454,-328.5994768,202.544269,23.07104803,1604.325144,0,0,300.9918102,26.80268473,28.25038448,1813.920389,7.207312509,129.7293598,23.7924002,-138.3133495
2026-01-18T00:00:00.000Z,F4_s3_papaya,F5,S4,Brinjal,7.014662977,1364.567543,195.4654232,44.03614826,241.3495947,0.76,0.633781929,5.062067733,6.395010559,0.53,40.55155158,1.323364127,0.828186459,0.023047013,0.114542725,0.342033247,0.432561577,17.11816072,3.932460131,0.010906635,250,-0.014991896,27.3376174,0.20275303,1243.287618,291.4535784,975.8042698,85.65230934,277.2296258,435.0442443,85.72898198,91.98880903,492.5867568,134.5134838,363.6999899,60.21612357,193.3844579,204.3105169,14538.72836,518.7901387,112.9712947,19.50343246,799.1564747,0,0,243.7426978,27.39878833,25.185684,2390.832365,7.395699757,177.4406655,2.130395286,307.9325274
2026-01-18T00:00:00.000Z,F4_S1_Brinjal,F4,S7,Cumin,6.868807654,1839.103979,194.0439937,45.5677769,234.1048043,0.76,0.628580808,5.29760852,6.40019399,0.53,43.56055777,1.32373881,0.706876713,0.011873878,0.096701064,0.138427906,0.519457993,26.58201767,15.28180922,0.013442918,250,0.231837416,27.37184927,0.198582362,1155.980378,248.5403038,1024.920082,140.9934321,532.1123711,346.7589566,94.04661724,76.38868418,539.6159385,214.2554757,486.1731451,41.20985615,170.9539557,155.0024985,20926.68718,478.9090797,311.0577837,24.87670397,1757.633784,0,0,245.6984853,28.76220874,24.01802203,-1043.377349,7.015587549,-10.51499916,457.0046264,444.8415844
